# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	cA_solver     	cA_initial    	cA_final      	cA_iters      	cA_converged  	cB_solver     	cB_initial    	cB_final      	cB_iters      	cB_converged  	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.03          	smoothSolver	3.012100e-03	7.327000e-06	2	4.810270e-03	7.441600e-07	3	1.400100e-03	4.011120e-06	2	false	smoothSolver	4.423730e-03	3.189730e-06	1	true	smoothSolver	4.139070e-03	1.005820e-06	1	true	DICPCG	5.858850e-04	2.740920e-05	113	true
0.0305        	smoothSolver	2.951510e-03	7.188480e-06	2	4.736460e-03	7.328760e-07	3	1.382460e-03	3.964400e-06	2	false	smoothSolver	4.356280e-03	3.116320e-06	1	true	smoothSolver	4.070990e-03	9.586630e-07	1	true	DICPCG	5.718810e-04	2.506250e-05	113	true
0.031         	smoothSolver	2.893030e-03	7.054920e-06	2	4.663320e-03	7.217430e-07	3	1.365520e-03	3.919020e-06	2	false	smoothSolver	4.291090e-03	3.044820e-06	1	true	smoothSolver	4.005130e-03	9.150370e-07	1	true	DICPCG	5.657360e-04	2.703880e-05	112	true
0.0315        	smoothSolver	2.836580e-03	6.925750e-06	2	4.592150e-03	7.108790e-07	3	1.349180e-03	3.875000e-06	2	false	smoothSolver	4.227930e-03	2.975090e-06	1	true	smoothSolver	3.941370e-03	8.748620e-07	1	true	DICPCG	5.632370e-04	2.603120e-05	112	true
0.032         	smoothSolver	2.782180e-03	6.800760e-06	2	4.522490e-03	7.002980e-07	3	1.333440e-03	3.832480e-06	2	false	smoothSolver	4.166670e-03	2.907040e-06	1	true	smoothSolver	3.879620e-03	8.380720e-07	1	true	DICPCG	5.592810e-04	2.604960e-05	112	true
0.0325        	smoothSolver	2.729910e-03	6.679770e-06	2	4.454730e-03	6.900000e-07	3	1.318170e-03	3.790990e-06	2	false	smoothSolver	4.107260e-03	2.840640e-06	1	true	smoothSolver	3.819790e-03	8.046510e-07	1	true	DICPCG	5.492750e-04	2.569150e-05	112	true
0.033         	smoothSolver	2.679980e-03	6.562780e-06	2	4.388880e-03	6.799530e-07	3	1.303320e-03	3.750990e-06	2	false	smoothSolver	4.049700e-03	2.775900e-06	1	true	smoothSolver	3.761800e-03	7.745540e-07	1	true	DICPCG	5.450610e-04	2.542530e-05	112	true
0.0335        	smoothSolver	2.631670e-03	6.450180e-06	2	4.324060e-03	6.700710e-07	3	1.288810e-03	3.712130e-06	2	false	smoothSolver	3.993980e-03	2.712840e-06	1	true	smoothSolver	3.705560e-03	7.477240e-07	1	true	DICPCG	5.341030e-04	2.546680e-05	112	true
0.034         	smoothSolver	2.584860e-03	6.341100e-06	2	4.260790e-03	6.603950e-07	3	1.274700e-03	3.674240e-06	2	false	smoothSolver	3.939980e-03	2.651370e-06	1	true	smoothSolver	3.651000e-03	7.241430e-07	1	true	DICPCG	5.241620e-04	2.540250e-05	112	true
0.0345        	smoothSolver	2.539350e-03	6.235370e-06	2	4.199470e-03	6.509590e-07	3	1.261160e-03	3.637220e-06	2	false	smoothSolver	3.887550e-03	2.591390e-06	1	true	smoothSolver	3.598040e-03	7.038280e-07	1	true	DICPCG	5.148900e-04	2.518150e-05	112	true
0.035         	smoothSolver	2.495030e-03	6.132340e-06	2	4.139410e-03	6.417190e-07	3	1.247880e-03	3.600780e-06	2	false	smoothSolver	3.836600e-03	2.532840e-06	1	true	smoothSolver	3.546620e-03	6.867460e-07	1	true	DICPCG	5.095600e-04	2.488910e-05	112	true
0.0355        	smoothSolver	2.451820e-03	6.031780e-06	2	4.080520e-03	6.326750e-07	3	1.235030e-03	3.565360e-06	2	false	smoothSolver	3.787070e-03	2.475680e-06	1	true	smoothSolver	3.496650e-03	6.728920e-07	1	true	DICPCG	4.998850e-04	2.437740e-05	112	true
0.036         	smoothSolver	2.409740e-03	5.933850e-06	2	4.022960e-03	6.238650e-07	3	1.222630e-03	3.531020e-06	2	false	smoothSolver	3.738940e-03	2.419910e-06	1	true	smoothSolver	3.448090e-03	6.622660e-07	1	true	DICPCG	4.934220e-04	2.323660e-05	112	true
0.0365        	smoothSolver	2.368880e-03	5.838480e-06	2	3.966490e-03	6.152140e-07	3	1.210540e-03	3.497280e-06	2	false	smoothSolver	3.692190e-03	2.365500e-06	1	true	smoothSolver	3.400870e-03	6.548600e-07	1	true	DICPCG	4.840240e-04	2.216430e-05	112	true
0.037         	smoothSolver	2.329180e-03	5.745670e-06	2	3.911200e-03	6.067270e-07	3	1.198730e-03	3.464500e-06	2	false	smoothSolver	3.646720e-03	2.312400e-06	1	true	smoothSolver	3.354930e-03	6.506870e-07	1	true	DICPCG	4.829480e-04	2.166450e-05	112	true
0.0375        	smoothSolver	2.290640e-03	5.655270e-06	2	3.857450e-03	5.984360e-07	3	1.187190e-03	3.432640e-06	2	false	smoothSolver	3.602440e-03	2.260530e-06	1	true	smoothSolver	3.310230e-03	6.497430e-07	1	true	DICPCG	4.773370e-04	2.083370e-05	112	true
